objectid,title,creator,date,description,subject,location,latitude,longitude,source,internet_archive_link,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
demo_iiif_001,Shot of a dog barking,Barrowclough Photo Card: Photographer,1912,Shot of a dog barking.,dogs; postcards,"Manitoba, Canada",56.24744925,-97.63270595,"Prairie Postcards Collection, University of Alberta Library","Internet Archive, <a href=""https://archive.org/details/PC002385"">https://archive.org/details/PC002385</a>",PC002385,Image;StillImage,image/jpeg,eng,https://creativecommons.org/publicdomain/mark/1.0/,,iiif,/objects/PC002385.json,/objects/small/pc002385_sm.jpg,/objects/thumbs/pc002385_th.jpg,,
demo_iiif_002,A girl and her dog,Wainwright Studio: Publisher,1920,"Scene of a girl and a dog standing beside a fence in Wainwright, Alberta.",girls; dogs; postcards,"Wainwright, Alberta, Canada",52.84320805,-110.8508208,"Prairie Postcards Collection, University of Alberta Library","Internet Archive, <a href=""https://archive.org/details/PC005033"">https://archive.org/details/PC005033</a>",PC005033,Image;StillImage,image/jpeg,eng,https://creativecommons.org/publicdomain/mark/1.0/,,iiif,/objects/PC005033.json,/objects/small/pc005033_sm.jpg,/objects/thumbs/pc005033_th.jpg,,
demo_iiif_003,Cats and dogs,"New York, Dodd, Mead & company [c1880]",1880,Picture book about cats and dogs,cats; dogs; girls,New York,40.71055333,-73.9852298,,"Library of Congress, <a href=""https://www.loc.gov/item/21018296/"">https://www.loc.gov/item/21018296/</a>",21018296,Text,application/pdf,eng,https://creativecommons.org/publicdomain/mark/1.0/,,iiif,https://www.loc.gov/item/21018296/manifest.json,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:catsdogs00unse:catsdogs00unse_0001/full/pct:100.0/0/default.jpg,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:catsdogs00unse:catsdogs00unse_0001/full/pct:100.0/0/default.jpg,,
demo_iiif_004,Prairie dog,"Morton, W.J.: Photographer",1917,Close-up view of a curious prairie dog.,prairie dogs,"Vulcan, Alberta, Canada",50.40495675,-113.2605853,"Prairie Postcards Collection, University of Alberta Library","Internet Archive, <a href=""https://archive.org/details/PC004934"">https://archive.org/details/PC004934</a>",PC004934,Image;StillImage,image/jpeg,eng,https://creativecommons.org/publicdomain/mark/1.0/,,iiif,/objects/PC004934.json,/objects/small/pc004934_sm.jpg,/objects/thumbs/pc004934_th.jpg,,
demo_iiif_005,Young Folks Pictures and Stories of Animals,"Tenney, Abby A. (Abby Amy), 1836-1903.",1887,A children's natural history of animals,dogs; animals,,,,,"Library of Congress, <a href=""https://www.loc.gov/item/21018296/"">https://www.loc.gov/item/21018296/</a>",unk83034008,Text,application/pdf,eng,https://creativecommons.org/publicdomain/mark/1.0/,,iiif,https://www.loc.gov/item/unk83034008/manifest.json,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:youngfolkspictu00tenn:youngfolkspictu00tenn_0001/full/pct:100.0/0/default.jpg,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:youngfolkspictu00tenn:youngfolkspictu00tenn_0001/full/pct:100.0/0/default.jpg,,
demo_iiif_006,Dog on Old Chatham Mill wheel,"Beals, Jessie Tarbox, 1870-1942, American [photographer]",1910,Dog on Old Chatham Mill wheel,dogs; mills,,,,,"Arthur and Elizabeth Schlesinger Library on the History of Women in America, Radcliffe Institute for Advanced Study, Harvard University, <a href=""https://id.lib.harvard.edu/digital_collections/W20031972_URN-3:RAD.SCHL:2138823"">https://id.lib.harvard.edu/digital_collections/W20031972_URN-3:RAD.SCHL:2138823</a>",10965711,Image;StillImage,image/jpeg,eng,https://creativecommons.org/publicdomain/mark/1.0/,,iiif,/objects/10965711.json,/objects/small/10965711_sm.jpg,/objects/thumbs/10965711_th.jpg,,
